voter address, voting power, voted
ca1q5qqqkfdxlgh6wpv38vpsn0yu78vw620v96yr7zjqz7agsze0s7zxkefef5, 4884, false
ca1q5qqy9kjjwpycxv4wamr5tayjzlgltmn8j4aadm6mceyxl8ltjxlvqpchlz, 5433, false
ca1q5qqyx6n7284crf9kavsm5f9ex66zv2hk6pxmfk0t70qvs40swq4v2qkhn6, 96095, false
ca1q5qq993777v8q3jr3l223smgt484yv8v94y3syu5yyeprrycd497w3jyq6x, 1112, false
ca1q5qqxlgj9zdmenzxclsjuhcc5h3y05a7pr2pghkaqqnjktmgq59dj5hd5gx, 1063, false
ca1q5qqfnue95eu2q7xvrrfkg8aadk9w6sjeaqr7e2v3nsq22dk8raqz2xmuj3, 1506, false
ca1q5qqw44uj6cau0jah9r6pumpctzakka028jk7zslntatrjnhfnfdsxmhppy, 62, false
ca1q5qqwmvtfjdhdplczntwdppm55aj3ardhysn5pzczvwflxuyujwmutw9vlu, 87, false
ca1q5qqmj8nnzcf7pjl6mf289wul6m907m2g6rkw0w4d30kgxayl5lp5nshxtl, 2446, false
ca1q5qqlxjrf0t0tjjnyltusqm0vylpcjlds7xajh3fjc3uhveg3xft5me6zn5, 41838, false
ca1q5qppmfs4kfkmd9tgp5dvplr7z7elg0zuyejp4y2qu7qaq63vqzn2gpa3af, 2000, false
ca1q5qpyvg9ktfuxq6s6gdrexn077p7kw87scjht6kpxl2ul08xnxrugeucegl, 35, false
ca1q5qpynfj950dj56pj3g8gkdvjfy0sptv6snsgkeexwddkjvarr8aj9zyqed, 61, false
ca1q5qpgf68ludw05lr9xln7hw0x7g0xk5ryxhevelywthtgpaecsx46mnljpa, 393554, false
ca1q5qp29vfq7h5yzmrytuclr6k9ua545pva80tuu56hwyfmzavp7r8xnxjpw0, 140440, false
ca1q5qp2h9ugpxhv0v72f0wnzxdavgjq5mnfny4hmpsxqtkkc4p5syp6zwzlau, 68, false
ca1q5qptpr4hxzyy02purf070632kfdfxf3jujt2r3d08l0r7q2fg6yq87lux0, 502, false
ca1q5qpt4s8vwzargcrt8jq4q934e8xjlpmjdjuzxv6wv3yjnlhctt7chxmrc5, 2239, false
ca1q5qpwjf0mlweqpuy2sy0e9nkqdpp8s698skyhh59urf2haqzz7hku8fuavy, 1393, false
ca1q5qp3thl539kvaawh8s2zqxhnkuav26w7xxwv58jj6w3qxu8yhgrs0mt9zr, 93971, true
ca1q5qp3k8j96fplppt3ph45s34rtgpdz3fncn5n6dch76469hve4efjqqs5nx, 98999, false
ca1q5qp3h0dwcdp0hpxwmxnj46n5lvzcetmw5tuadcpz5jceqqq5f40v6mzlu4, 100, false
ca1q5qp5jnav4w82664xuvgrd3mpzq9vwu94tpundsztvgp7kn03wq86rf07nz, 62677, false
ca1q5qp4zfwg307hyj5eyuhldhx9t9jh4yd833kyrf40e2278nscj4923lsfhs, 261, false
