q_ratio,M,mean_of_means,ci95_mean_lo,ci95_mean_hi,var_of_means,mean_of_vars,ci95_var_lo,ci95_var_hi,var_of_vars
0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,100,5.171583242027997e-06,-4.96471991234688e-06,1.5307886396402872e-05,2.6745273229224828e-09,2.6477820496932483e-07,-2.5418707677055186e-07,7.837434867092015e-07,7.010749782677779e-12
0.27,100,0.00020591194159032974,-0.00014667767140375776,0.0005585015545844172,3.236136901065192e-06,1.6014522437816972e-05,-1.2575200748260616e-05,4.4604245623894564e-05,2.127687088339605e-08
0.28,100,0.0013454483946708827,-0.0004166275696352434,0.003107524358977009,8.08233992082821e-05,0.00010909547357110431,-2.9920039363875398e-05,0.000248110986506084,5.030537493902414e-07
0.29,100,0.003130410058346264,0.0010000133929238381,0.005260806723768691,0.00011814322032598376,0.0002292674892491838,6.947982517624177e-05,0.00038905515332212585,6.646214491328449e-07
0.3,100,0.009049945070708172,0.0050674523986136465,0.013032437742802699,0.0004128552655999219,0.0008199137504682787,0.00042055198081654925,0.0012192755201200082,4.151650954273246e-06
0.31,100,0.016430111365358335,0.011677498203830492,0.021182724526886177,0.0005879667811101542,0.0012422687337831063,0.0008613658195541162,0.0016231716480120963,3.7767344353430186e-06
0.32,100,0.032520282407945716,0.025223573850265572,0.03981699096562586,0.0013859317934121888,0.0026797550940016123,0.002056941506266404,0.0033025686817368207,1.0097271060693515e-05
0.33,100,0.06283617439103724,0.05202394626011264,0.07364840252196184,0.0030431142533100066,0.004563951001215054,0.0037758665500777595,0.005352035452352349,1.6167146556756842e-05
0.34,100,0.09802414673571913,0.08382853175085923,0.11221976172057903,0.005245613411036514,0.007670099959002213,0.006378836144875721,0.008961363773128705,4.340280710309492e-05
0.35000000000000003,100,0.156461144186051,0.1407060270548104,0.17221626131729162,0.006461466988210953,0.012121222242691927,0.010723055210267372,0.013519389275116481,5.088689740105393e-05
0.36,100,0.267156869449112,0.24443649623099384,0.28987724266723014,0.013437509349504896,0.021549274664027368,0.019136412114894513,0.023962137213160224,0.000151548981700539
0.37,100,0.4359729992281246,0.40604931006472406,0.46589668839152515,0.02330870400738794,0.03567520971637701,0.03261268178694698,0.03873773764580705,0.00024414507805443117
0.38,100,0.662962383167023,0.6240920790279506,0.7018326873060955,0.03932998083777571,0.055058489041489835,0.05014282502559425,0.05997415305738542,0.0006290023093807448
0.39,100,0.9839159772522528,0.9419668033171855,1.02586515118732,0.04580729888157349,0.07677091415272602,0.07073381137142894,0.08280801693402311,0.0009487351622226437
0.4,100,1.3777509143722673,1.3311905914954194,1.4243112372491151,0.05643126994992496,0.1064974239350454,0.09981389593481085,0.11318095193527994,0.0011627849471553297
0.41000000000000003,100,1.8752841858779803,1.818563896305056,1.9320044754509045,0.08374612789557402,0.14403847258935004,0.13636586359522027,0.15171108158347982,0.0015324065175135683
0.42,100,2.530209910382943,2.4695317743651253,2.5908880464007606,0.09584121695639296,0.194378257376975,0.18339524484652053,0.20536126990742948,0.003140008440340487
0.43,100,3.183589239265256,3.108008693934158,3.259169784596354,0.14869894920205623,0.25049411702715746,0.23575597715535995,0.26523225689895497,0.005654226543124414
0.44,100,3.93535078936804,3.8487165226304745,4.021985056105605,0.19537422358276774,0.32438408498151733,0.3068976359050598,0.34187053405797485,0.007959597597447491
0.45,100,4.808267823454801,4.72531877960106,4.891216867308542,0.17910620252628973,0.3892675153177697,0.36966320289989846,0.40887182773564096,0.010004400910493053
0.46,100,5.597407232882713,5.50493016569042,5.689884300075005,0.22261578395688764,0.4605350719598648,0.43778181330391597,0.48328833061581367,0.013476436366735489
